year,table,respondent_id,agency_code,act_year,loan_type,action_taken_type,state,conty,msa,assessment_area,cty_partial,cty_split,population_class,income_group,report_level,sbl_num_lt100k,sbl_tot_lt100k,sbl_num_100k250k,sbl_tot_100k250k,sbl_num_250k1m,sbl_tot_250k1m,sbl_num_revlt1m,sbl_tot_revlt1m,sbl_num_affln,sbl_tot_affln
2021,5,10,1,4,1,1,2,3,5,4,1,1,1,3,3,10,10,10,10,10,10,10,10,10,10
2020,5,10,1,4,1,1,2,3,5,4,1,1,1,3,3,10,10,10,10,10,10,10,10,10,10
2019,5,10,1,4,1,1,2,3,5,4,1,1,1,3,3,10,10,10,10,10,10,10,10,10,10
2018,5,10,1,4,1,1,2,3,5,4,1,1,1,3,3,10,10,10,10,10,10,10,10,10,10
2017,5,10,1,4,1,1,2,3,5,4,1,1,1,3,3,10,10,10,10,10,10,10,10,10,10
2016,5,10,1,4,1,1,2,3,5,4,1,1,1,3,3,10,10,10,10,10,10,10,10,10,10
2015,5,10,1,4,1,1,2,3,5,4,1,1,1,3,3,10,10,10,10,10,10,10,10,10,10
2014,5,10,1,4,1,1,2,3,5,4,1,1,1,3,3,10,10,10,10,10,10,10,10,10,10
2013,5,10,1,4,1,1,2,3,5,4,1,1,1,3,3,10,10,10,10,10,10,10,10,10,10
2012,5,10,1,4,1,1,2,3,5,4,1,1,1,3,3,10,10,10,10,10,10,10,10,10,10
2011,5,10,1,4,1,1,2,3,5,4,1,1,1,3,3,10,10,10,10,10,10,10,10,10,10
2010,5,10,1,4,1,1,2,3,5,4,1,1,1,3,3,10,10,10,10,10,10,10,10,10,10
2009,5,10,1,4,1,1,2,3,5,4,1,1,1,3,3,10,10,10,10,10,10,10,10,10,10
2008,5,10,1,4,1,1,2,3,5,4,1,1,1,3,3,10,10,10,10,10,10,10,10,10,10
2007,5,10,1,4,1,1,2,3,5,4,1,1,1,3,3,10,10,10,10,10,10,10,10,10,10
2006,5,10,1,4,1,1,2,3,5,4,1,1,1,3,3,10,10,10,10,10,10,10,10,10,10
2005,5,10,1,4,1,1,2,3,5,4,1,1,1,3,3,10,10,10,10,10,10,10,10,10,10
2004,5,10,1,4,1,1,2,3,5,4,1,1,1,3,3,10,10,10,10,10,10,10,10,10,10
2003,5,10,1,4,1,1,2,3,4,4,1,1,1,3,3,6,8,6,8,6,8,6,8,6,8
2002,5,10,1,4,1,1,2,3,4,4,1,1,1,3,3,6,8,6,8,6,8,6,8,6,8
2001,5,10,1,4,1,1,2,3,4,4,1,1,1,3,3,6,8,6,8,6,8,6,8,6,8
2000,5,10,1,4,1,1,2,3,4,4,1,1,1,3,3,6,8,6,8,6,8,6,8,6,8
1999,5,10,1,4,1,1,2,3,4,4,1,1,1,3,3,6,8,6,8,6,8,6,8,6,8
1998,5,10,1,4,1,1,2,3,4,4,1,1,1,3,3,6,8,6,8,6,8,6,8,6,8
1997,5,10,1,4,1,1,2,3,4,4,1,1,1,3,3,6,8,6,8,6,8,6,8,6,8
1996,4,10,1,4,1,1,2,3,4,4,1,1,1,3,3,6,8,6,8,6,8,6,8,6,8
